[90m[Sep 25 16:32:25][0m [32m INFO[0m[39m [localhost][0m [39mValidating config...[0m
[90m[Sep 25 16:32:25][0m [32m INFO[0m[39m [localhost][0m [39mLoaded: /vuls/results/2019-09-25T16:30:47-04:00[0m
[90m[Sep 25 16:32:25][0m [32m INFO[0m[39m [localhost][0m [39mValidating db config...[0m
[36mINFO[0m[0000] -cvedb-type: sqlite3, -cvedb-url: , -cvedb-path: /vuls/cve.sqlite3 
[36mINFO[0m[0000] -ovaldb-type: sqlite3, -ovaldb-url: , -ovaldb-path: /vuls/oval.sqlite3 
[36mINFO[0m[0000] -gostdb-type: sqlite3, -gostdb-url: , -gostdb-path: /vuls/gost.sqlite3 
[36mINFO[0m[0000] -exploitdb-type: sqlite3, -exploitdb-url: , -exploitdb-path: /vuls/go-exploitdb.sqlite3 
[32mINFO[0m[09-25|16:32:25] Opening DB.                              [32mdb[0m=sqlite3
[32mINFO[0m[09-25|16:32:25] Migrating DB.                            [32mdb[0m=sqlite3
[32mINFO[0m[09-25|16:32:25] Opening Database.                        [32mdb[0m=sqlite3
[32mINFO[0m[09-25|16:32:25] Migrating DB.                            [32mdb[0m=sqlite3
bids-baracus@host (ubuntu14.04) on host
=======================================
Total: 216 (High:58 Medium:139 Low:19 ?:0), 0/216 Fixed, 218 installed, 7 exploits, en: 0, ja: 0 alerts

+------------------+---------+------+------+----+------+---------------------------------------------------+
|      CVE-ID      |  FIXED  | CERT | CVSS | AV | POC  |                        NVD                        |
| CVE-2017-11499   | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-11499   |
| CVE-2017-12837   | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-12837   |
| CVE-2017-13728   | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-13728   |
| CVE-2017-3735    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-3735    |
| CVE-2017-6594    | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-6594    |
| CVE-2017-7869    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-7869    |
| CVE-2017-9233    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-9233    |
| CVE-2018-0732    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-0732    |
| CVE-2018-1000121 | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1000121 |
| CVE-2018-1060    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1060    |
| CVE-2018-1061    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1061    |
| CVE-2018-1123    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1123    |
| CVE-2018-1125    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1125    |
| CVE-2018-12015   | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-12015   |
| CVE-2018-12020   | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-12020   |
| CVE-2018-12115   | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-12115   |
| CVE-2018-12121   | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-12121   |
| CVE-2018-12122   | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-12122   |
| CVE-2018-14647   | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-14647   |
| CVE-2018-20406   | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-20406   |
| CVE-2018-20679   | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-20679   |
| CVE-2018-5733    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-5733    |
| CVE-2018-7158    | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-7158    |
| CVE-2018-7185    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-7185    |
| CVE-2018-8740    | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-8740    |
| CVE-2019-3823    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-3823    |
| CVE-2019-5747    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-5747    |
| CVE-2015-5602    | unfixed |      |  7.2 |  L |    Y | https://nvd.nist.gov/vuln/detail/CVE-2015-5602    |
| CVE-2016-2774    | unknown |      |  7.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-2774    |
| CVE-2016-9311    | unknown |      |  7.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-9311    |
| CVE-2018-1000654 | unfixed |      |  7.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1000654 |
| CVE-2015-8239    | unfixed |      |  7.0 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2015-8239    |
| CVE-2016-7032    | unfixed |      |  7.0 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2016-7032    |
| CVE-2017-1000376 | unknown |      |  7.0 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2017-1000376 |
| CVE-2017-1000409 | unknown |      |  7.0 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2017-1000409 |
| CVE-2018-1122    | unknown |      |  7.0 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1122    |
