Vulnerability_ID     Package    Severity
CVE-2016-8650   kernel-headers   High
CVE-2016-9793   kernel-headers   High
CVE-2017-2618   kernel-headers   High
CVE-2017-2636   kernel-headers   High
CVE-2017-11473   kernel-headers   High
CVE-2017-15299   kernel-headers   High
CVE-2017-15306   kernel-headers   High
CVE-2017-1000255   kernel-headers   High
CVE-2015-5307   kernel-headers   High
CVE-2015-8104   kernel-headers   High
CVE-2018-16871   kernel-headers   High
CVE-2018-16884   kernel-headers   High
CVE-2019-11085   kernel-headers   High
CVE-2019-11811   kernel-headers   High
CVE-2017-1000366   glibc   High
CVE-2019-11477   kernel-headers   High
CVE-2019-11478   kernel-headers   High
CVE-2019-11479   kernel-headers   High
CVE-2017-11600   kernel-headers   High
CVE-2018-7755   kernel-headers   High
CVE-2018-8087   kernel-headers   High
CVE-2018-9363   kernel-headers   High
CVE-2018-9516   kernel-headers   High
CVE-2018-9517   kernel-headers   High
CVE-2018-10853   kernel-headers   High
CVE-2018-13053   kernel-headers   High
CVE-2018-13093   kernel-headers   High
CVE-2018-13094   kernel-headers   High
CVE-2018-13095   kernel-headers   High
CVE-2018-14625   kernel-headers   High
CVE-2018-14734   kernel-headers   High
CVE-2018-15594   kernel-headers   High
CVE-2018-16658   kernel-headers   High
CVE-2018-16885   kernel-headers   High
CVE-2018-18281   kernel-headers   High
CVE-2019-3459   kernel-headers   High
CVE-2019-3460   kernel-headers   High
CVE-2019-3882   kernel-headers   High
CVE-2019-3900   kernel-headers   High
CVE-2019-5489   kernel-headers   High
CVE-2019-7222   kernel-headers   High
CVE-2019-9456   kernel-headers   High
CVE-2019-10140   kernel-headers   High
CVE-2019-11599   kernel-headers   High
CVE-2019-11810   kernel-headers   High
CVE-2019-11833   kernel-headers   High
CVE-2015-8830   kernel-headers   High
CVE-2016-4913   kernel-headers   High
CVE-2017-0861   kernel-headers   High
CVE-2017-10661   kernel-headers   High
CVE-2017-17805   kernel-headers   High
CVE-2017-18208   kernel-headers   High
CVE-2017-18232   kernel-headers   High
CVE-2017-18344   kernel-headers   High
CVE-2017-18360   kernel-headers   High
CVE-2018-1092   kernel-headers   High
CVE-2018-1094   kernel-headers   High
CVE-2018-1118   kernel-headers   High
CVE-2018-1120   kernel-headers   High
CVE-2018-1130   kernel-headers   High
CVE-2018-5344   kernel-headers   High
CVE-2018-5391   kernel-headers   High
CVE-2018-5803   kernel-headers   High
CVE-2018-5848   kernel-headers   High
